,filename,total_nloc,avg_nloc,avg_ccn,avg_token,function_cnt,ternary,LLC_0,LLC_10,LLC_20,LLC_30,LLC_40,rel_pub,rel_priv,rel_prot,sin_comm,sin_spell_err,multi_comm,doc_comm,sin_space,db_space,tab,total_var_count,avg_var_length,num_type1_var,num_type2_var,num_type3_var,num_var_misspell,total_num_tokens
0,../../data/test/SOCO.14.test/JAVA/A1/A10000.java,125.0,23.8,7.4,178.4,5.0,4.0,82.0,34.0,21.0,11.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.0,616.0,0.0,63.0,2.6507936507936507,55.0,0.0,8.0,6.0,580.0
1,../../data/test/SOCO.14.test/JAVA/A1/A10001.java,38.0,34.0,15.0,298.0,1.0,0.0,21.0,8.0,9.0,8.0,11.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,183.0,0.0,200.0,20.0,2.8,20.0,0.0,0.0,0.0,188.0
2,../../data/test/SOCO.14.test/JAVA/A1/A10002.java,68.0,8.0,2.7142857142857144,63.714285714285715,7.0,3.0,47.0,11.0,14.0,17.0,20.0,100.0,0.0,0.0,8.0,0.0,0.0,0.0,232.0,0.0,235.0,27.0,6.481481481481482,19.0,8.0,0.0,6.0,287.0
3,../../data/test/SOCO.14.test/JAVA/A1/A10003.java,44.0,13.333333333333334,3.6666666666666665,89.33333333333333,3.0,2.0,21.0,6.0,7.0,14.0,26.0,40.0,60.0,0.0,15.0,3.0,1.0,0.0,305.0,0.0,153.0,26.0,7.076923076923077,14.0,12.0,0.0,2.0,153.0
4,../../data/test/SOCO.14.test/JAVA/A1/A10004.java,43.0,36.0,14.0,268.0,1.0,1.0,13.0,8.0,13.0,9.0,7.0,100.0,0.0,0.0,1.0,1.0,1.0,0.0,153.0,0.0,145.0,22.0,2.5454545454545454,22.0,0.0,0.0,2.0,173.0
5,../../data/test/SOCO.14.test/JAVA/A1/A10005.java,24.0,21.0,12.0,239.0,1.0,0.0,7.0,1.0,3.0,7.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,68.0,15.0,2.1333333333333333,13.0,0.0,2.0,2.0,151.0
6,../../data/test/SOCO.14.test/JAVA/A1/A10006.java,42.0,18.5,5.5,158.0,2.0,0.0,20.0,10.0,4.0,14.0,14.0,100.0,0.0,0.0,11.0,0.0,0.0,0.0,132.0,0.0,136.0,23.0,1.8695652173913044,23.0,0.0,0.0,0.0,180.0
7,../../data/test/SOCO.14.test/JAVA/A1/A10007.java,55.0,22.0,6.5,161.0,2.0,0.0,18.0,8.0,20.0,8.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,130.0,28.0,2.357142857142857,24.0,0.0,4.0,0.0,189.0
8,../../data/test/SOCO.14.test/JAVA/A1/A10008.java,41.0,37.0,10.0,257.0,1.0,0.0,19.0,9.0,10.0,6.0,5.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,101.0,1.0,130.0,19.0,2.3684210526315788,19.0,0.0,0.0,2.0,159.0
9,../../data/test/SOCO.14.test/JAVA/A1/A10009.java,65.0,18.333333333333332,5.0,124.66666666666667,3.0,0.0,30.0,16.0,12.0,6.0,16.0,50.0,50.0,0.0,0.0,0.0,1.0,0.0,637.0,245.0,55.0,26.0,4.576923076923077,18.0,8.0,0.0,5.0,227.0
10,../../data/test/SOCO.14.test/JAVA/A1/A10010.java,45.0,21.0,8.5,213.5,2.0,0.0,27.0,13.0,11.0,9.0,7.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,144.0,0.0,156.0,29.0,2.793103448275862,19.0,4.0,6.0,2.0,241.0
11,../../data/test/SOCO.14.test/JAVA/A1/A10011.java,102.0,8.8,2.9,56.5,10.0,0.0,31.0,19.0,23.0,13.0,23.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0,0.0,233.0,0.0,270.0,20.0,1.4,18.0,0.0,2.0,0.0,330.0
12,../../data/test/SOCO.14.test/JAVA/A1/A10012.java,113.0,21.2,5.0,125.8,5.0,0.0,52.0,15.0,29.0,18.0,25.0,100.0,0.0,0.0,10.0,0.0,1.0,0.0,278.0,0.0,406.0,41.0,4.512195121951219,41.0,0.0,0.0,4.0,390.0
13,../../data/test/SOCO.14.test/JAVA/A1/A10013.java,74.0,13.2,3.6,117.4,5.0,0.0,57.0,9.0,8.0,11.0,31.0,25.0,75.0,0.0,1.0,0.0,0.0,0.0,231.0,0.0,265.0,38.0,4.815789473684211,17.0,21.0,0.0,3.0,362.0
14,../../data/test/SOCO.14.test/JAVA/A1/A10014.java,91.0,82.0,21.0,551.0,1.0,0.0,23.0,28.0,18.0,18.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,375.0,24.0,4.333333333333333,20.0,0.0,4.0,2.0,339.0
15,../../data/test/SOCO.14.test/JAVA/A1/A10015.java,38.0,32.0,9.0,217.0,1.0,0.0,15.0,10.0,9.0,5.0,6.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0,36.0,2.0,122.0,14.0,2.2142857142857144,12.0,0.0,2.0,1.0,138.0
16,../../data/test/SOCO.14.test/JAVA/A1/A10016.java,47.0,21.5,7.5,193.0,2.0,0.0,13.0,6.0,9.0,11.0,11.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,61.0,33.0,31.0,4.354838709677419,31.0,0.0,0.0,4.0,239.0
17,../../data/test/SOCO.14.test/JAVA/A1/A10017.java,67.0,28.5,4.0,208.5,2.0,0.0,46.0,5.0,12.0,17.0,18.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0,190.0,0.0,203.0,36.0,3.9166666666666665,28.0,2.0,6.0,2.0,259.0
18,../../data/test/SOCO.14.test/JAVA/A1/A10018.java,42.0,36.0,8.0,300.0,1.0,0.0,14.0,10.0,7.0,12.0,10.0,100.0,0.0,0.0,2.0,0.0,1.0,0.0,135.0,0.0,115.0,31.0,3.2580645161290325,25.0,6.0,0.0,0.0,190.0
19,../../data/test/SOCO.14.test/JAVA/A1/A10019.java,98.0,7.818181818181818,2.090909090909091,40.90909090909091,11.0,0.0,51.0,21.0,19.0,14.0,8.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,104.0,0.0,201.0,19.0,2.736842105263158,17.0,2.0,0.0,2.0,260.0
20,../../data/test/SOCO.14.test/JAVA/A1/A10020.java,31.0,7.666666666666667,2.0,37.666666666666664,3.0,0.0,13.0,6.0,4.0,11.0,4.0,66.66666666666666,33.33333333333333,0.0,1.0,1.0,0.0,0.0,57.0,0.0,49.0,2.0,4.5,2.0,0.0,0.0,0.0,63.0
21,../../data/test/SOCO.14.test/JAVA/A1/A10021.java,17.0,7.0,2.0,61.5,2.0,0.0,7.0,2.0,1.0,3.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,12.0,6.0,3.0,2.0,4.0,0.0,0.0,68.0
22,../../data/test/SOCO.14.test/JAVA/A1/A10022.java,22.0,17.0,3.0,152.0,1.0,0.0,6.0,0.0,3.0,4.0,12.0,50.0,50.0,0.0,1.0,0.0,0.0,0.0,113.0,0.0,24.0,18.0,6.055555555555555,10.0,8.0,0.0,2.0,89.0
23,../../data/test/SOCO.14.test/JAVA/A1/A10023.java,29.0,10.5,2.5,57.0,2.0,0.0,9.0,4.0,4.0,9.0,7.0,75.0,25.0,0.0,1.0,1.0,0.0,0.0,53.0,0.0,50.0,7.0,4.857142857142857,5.0,2.0,0.0,0.0,67.0
24,../../data/test/SOCO.14.test/JAVA/A1/A10024.java,41.0,35.0,12.0,346.0,1.0,0.0,10.0,3.0,8.0,10.0,12.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,89.0,30.0,4.366666666666666,22.0,8.0,0.0,0.0,218.0
25,../../data/test/SOCO.14.test/JAVA/A1/A10025.java,28.0,22.0,7.0,254.0,1.0,1.0,9.0,0.0,2.0,6.0,14.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,55.0,23.0,4.608695652173913,11.0,12.0,0.0,4.0,147.0
26,../../data/test/SOCO.14.test/JAVA/A1/A10026.java,67.0,61.0,21.0,384.0,1.0,0.0,19.0,16.0,14.0,12.0,13.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,286.0,28.0,6.107142857142857,22.0,6.0,0.0,2.0,233.0
27,../../data/test/SOCO.14.test/JAVA/A1/A10027.java,47.0,39.0,15.0,289.0,1.0,0.0,13.0,12.0,10.0,8.0,11.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,158.0,0.0,156.0,25.0,3.36,24.0,0.0,1.0,2.0,192.0
28,../../data/test/SOCO.14.test/JAVA/A1/A10028.java,32.0,23.0,5.0,207.0,1.0,0.0,12.0,4.0,3.0,9.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,78.0,18.0,3.7777777777777777,18.0,0.0,0.0,0.0,126.0
